neighborhood,neighborhood-2,st_distance
14,14,0.0
14,49,0.0380911512686171
14,96,0.0
14,84,0.108830028872782
14,111,0.0325665759947716
14,15,0.0461987724072511
14,110,0.0567390236255131
14,35,0.0511184840936979
14,76,0.0941650735302705
14,48,0.0
14,38,0.0471628816441366
14,99,0.0657169945254759
14,97,0.133487579324699
14,9,0.0234084600301255
14,52,0.0206048483733768
14,40,0.0
14,70,0.256104438319395
14,68,0.07875390953151401
14,30,0.20696986809014
14,37,0.257003975318336
14,112,0.35590247910345296
14,82,0.0509226609868847
14,6,0.172174595010091
14,98,0.216600033499972
14,95,0.00440113621682555
14,39,0.0622183638807593
14,56,0.0262616107844632
14,47,0.10790537655239099
14,29,0.0584103484407882
14,108,0.0772486608944144
14,69,0.147925655763263
14,64,0.0664490692553532
14,58,0.31741638831257
14,27,0.0584103484407882
14,41,0.098132681309526
14,85,0.0982758831554358
14,86,0.208734516263685
14,3,0.0173879297677116
14,13,0.0782136050054861
14,50,0.0389989999995635
14,31,0.0406696914419854
14,54,0.10767386970298899
14,94,0.0755980635324849
14,12,0.0678979957507592
14,1,0.18913969301489003
14,79,0.10192530702783098
14,106,0.07506734376369299
14,67,0.0786343958450955
14,21,0.0298455122586114
14,101,0.231493799849654
14,77,0.20453845744889798
14,4,0.273642134476489
14,7,0.0135705035081253
14,53,0.0690629105084545
14,0,0.187894459927718
14,72,0.0929421110581288
14,107,0.23530179798437198
14,57,0.0754771608693216
14,26,0.0154289079654496
14,89,0.17189611556800902
14,83,0.0415891847039397
14,102,0.0109201648338246
14,90,0.0867484767007211
14,28,0.0595461619999013
14,75,0.156560888029454
14,59,0.234716322575694
14,100,0.0792571561996791
14,45,0.0677710071121756
14,32,0.014693764423032
14,88,0.0667588960737752
14,36,0.103604294432196
14,104,0.210802430422319
14,19,0.0
14,20,0.13885208683177802
14,55,0.0323989999994936
14,24,0.272635112462455
14,63,0.236598970177051
14,62,0.11117327729605801
14,103,0.0956869289136441
14,22,0.12129000000003001
14,80,0.195276367464707
14,5,0.136120193746813
14,18,0.0206321448471744
14,33,0.134003384437839
14,25,0.129615630788384
14,44,0.10996591137694803
14,81,0.0655980000068633
14,60,0.0241103090396904
14,71,0.08372324425601801
14,92,0.0901008235696472
14,46,0.23755453548003397
14,42,0.18421065507998702
14,2,0.220337027610111
14,74,0.130958753826798
14,43,0.27198899431004503
14,8,0.0651126191698056
14,17,0.311243244207498
14,91,0.0365335216205182
14,34,0.0
14,11,0.263791283713373
14,65,0.20641167155961998
14,93,0.0509522069438873
14,66,0.024800999999897006
14,10,0.0158665875661011
14,61,0.102203000000003
14,16,0.33999648320594295
14,51,0.108460504378209
14,105,0.0250901813462116
14,87,0.293929717361875
14,109,0.0891029999998949
14,73,0.0325213959447958
14,78,0.0390001615633306
14,23,0.24336012574077104
98,14,0.216600033499972
98,49,0.272755820439672
98,96,0.20682352598087803
98,84,0.139142173436005
98,111,0.251938655128131
98,15,0.135102715107754
98,110,0.215496683639225
98,35,0.26873938480893
98,76,0.218204868655125
98,48,0.222484070731101
98,38,0.14777052726974302
98,99,0.282171676273913
98,97,0.0966763601392808
98,9,0.236269647574263
98,52,0.174723291158641
98,40,0.226773477570064
98,70,0.0
98,68,0.18608694597999498
98,30,0.0
98,37,0.0735112576751112
98,112,0.153881308890961
98,82,0.23226812247773398
98,6,0.0
98,98,0.0
98,95,0.194459535853432
98,39,0.255053702392783
98,56,0.20032358391264105
98,47,0.0897566110089081
98,29,0.140453685393309
98,108,0.17106524588971697
98,69,0.105492961849612
98,64,0.29782503686459494
98,58,0.13748552366352498
98,27,0.165425254986977
98,41,0.15748548593834
98,85,0.264919537332452
98,86,0.42057671505434996
98,3,0.232331282265916
98,13,0.21683120407258802
98,50,0.165177146335964
98,31,0.204991778629008
98,54,0.200690677052503
98,94,0.11590313817931801
98,12,0.10780545826549999
98,1,0.0716369611925981
98,79,0.325814248995042
98,106,0.199299947465062
98,67,0.190650031669832
98,21,0.15920859355119002
98,101,0.0282764518257818
98,77,0.0563929215854988
98,4,0.0209363416336503
98,7,0.238366117441633
98,53,0.303289930924807
98,0,0.0139926259978921
98,72,0.222667276486023
98,107,0.0402443514691653
98,57,0.103270754934758
98,26,0.181778006602851
98,89,0.0272942095321242
98,83,0.185742192504858
98,102,0.21746208983655602
98,90,0.218508207304887
98,28,0.15760607941524402
98,75,0.0146989999998226
98,59,0.057961925476890004
98,100,0.15334186708637698
98,45,0.16355317091504198
98,32,0.23585581809424103
98,88,0.23888333588043698
98,36,0.0656468333196282
98,104,0.0810980855814931
